name;company;technology;job;location_city;location_coutry;salary_low;salary_high;salary_currency;salary_avg;is_senior
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
product owner/senior business analyst;Silent Eight Pte. Ltd.;;data analyst;Zdalna;;14000;18000;PLN ;16000.0;1
business intelligence data analyst i;Jamf;;data analyst;Zdalna;;5000;6250;PLN ;5625.0;0
business intelligence analyst;Tylko;;data analyst;Zdalna;;8000;12000;PLN ;10000.0;0
data analytics implementation specialist;IIIT;;data analyst;Zdalna;;10000;16000;PLN ;13000.0;0
power bi data analyst;Devire;;data analyst; Warszawa;POL;13440;16800;PLN ;15120.0;0
senior data analyst;Devire;;data analyst;Zdalna;;16800;20160;PLN ;18480.0;1
data scientist - bi analyst;Cloud Best;;data analyst; Warszawa;POL;10000;14000;PLN ;12000.0;0
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
product owner/senior business analyst;Silent Eight Pte. Ltd.;;data analyst;Zdalna;;14000;18000;PLN ;16000.0;1
business intelligence data analyst i;Jamf;;data analyst;Zdalna;;5000;6250;PLN ;5625.0;0
business intelligence analyst;Tylko;;data analyst;Zdalna;;8000;12000;PLN ;10000.0;0
data analytics implementation specialist;IIIT;;data analyst;Zdalna;;10000;16000;PLN ;13000.0;0
power bi data analyst;Devire;;data analyst; Warszawa;POL;13440;16800;PLN ;15120.0;0
senior data analyst;Devire;;data analyst;Zdalna;;16800;20160;PLN ;18480.0;1
data scientist - bi analyst;Cloud Best;;data analyst; Warszawa;POL;10000;14000;PLN ;12000.0;0
product owner (remote);BEANS;;data analyst;Zdalna;;9000;16000;PLN ;12500.0;0
big data analyst;Solid Bridge Solutions Sp. z o.o.;SQL;data analyst; Warszawa;POL;10000;13000;PLN ;11500.0;0
technical product devops;kyp.ai;;data analyst;Zdalna;;20000;33000;PLN ;26500.0;0
data scientist;Tidio;;data analyst;Zdalna;;15000;22000;PLN ;18500.0;0
data analyst;IIIT;;data analyst; Warszawa;POL;8000;12000;PLN ;10000.0;0
data analyst intern (tableau);Global App Testing;;data analyst; Kraków;POL;2600;3000;PLN ;2800.0;0
data scientist team leader;Pannon-Work;python;data analyst; Budapest;HUN;13927;27854;PLN ;20890.5;0
technical po/it business system analyst;Fresha;;data analyst;Zdalna;;10000;18000;PLN ;14000.0;0
it business analyst;Margo;;data analyst; Warszawa;POL;17000;21000;PLN ;19000.0;0
project manager;Efigence SA;;data analyst; Warszawa;POL;12000;20000;PLN ;16000.0;0
product manager;Qpony.pl Sp. z o.o.;;data analyst;Zdalna;;8000;11000;PLN ;9500.0;0
remote data engineer;CDQ Poland;;data analyst;Zdalna;;9000;15000;PLN ;12000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
frontend developer;Evotrex Zrt.;javascript;data analyst; Budapest;HUN;7596;11394;PLN ;9495.0;0
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
product owner/senior business analyst;Silent Eight Pte. Ltd.;;data analyst;Zdalna;;14000;18000;PLN ;16000.0;1
business intelligence data analyst i;Jamf;;data analyst;Zdalna;;5000;6250;PLN ;5625.0;0
business intelligence analyst;Tylko;;data analyst;Zdalna;;8000;12000;PLN ;10000.0;0
data analytics implementation specialist;IIIT;;data analyst;Zdalna;;10000;16000;PLN ;13000.0;0
power bi data analyst;Devire;;data analyst; Warszawa;POL;13440;16800;PLN ;15120.0;0
senior data analyst;Devire;;data analyst;Zdalna;;16800;20160;PLN ;18480.0;1
data scientist - bi analyst;Cloud Best;;data analyst; Warszawa;POL;10000;14000;PLN ;12000.0;0
product owner (remote);BEANS;;data analyst;Zdalna;;9000;16000;PLN ;12500.0;0
big data analyst;Solid Bridge Solutions Sp. z o.o.;SQL;data analyst; Warszawa;POL;10000;13000;PLN ;11500.0;0
technical product devops;kyp.ai;;data analyst;Zdalna;;20000;33000;PLN ;26500.0;0
data scientist;Tidio;;data analyst;Zdalna;;15000;22000;PLN ;18500.0;0
data analyst;IIIT;;data analyst; Warszawa;POL;8000;12000;PLN ;10000.0;0
data analyst intern (tableau);Global App Testing;;data analyst; Kraków;POL;2600;3000;PLN ;2800.0;0
data scientist team leader;Pannon-Work;python;data analyst; Budapest;HUN;13927;27854;PLN ;20890.5;0
technical po/it business system analyst;Fresha;;data analyst;Zdalna;;10000;18000;PLN ;14000.0;0
it business analyst;Margo;;data analyst; Warszawa;POL;17000;21000;PLN ;19000.0;0
project manager;Efigence SA;;data analyst; Warszawa;POL;12000;20000;PLN ;16000.0;0
product manager;Qpony.pl Sp. z o.o.;;data analyst;Zdalna;;8000;11000;PLN ;9500.0;0
remote data engineer;CDQ Poland;;data analyst;Zdalna;;9000;15000;PLN ;12000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
frontend developer;Evotrex Zrt.;javascript;data analyst; Budapest;HUN;7596;11394;PLN ;9495.0;0
technical support engineer;Telestream;;data engeenier; Kraków;POL;10000;13000;PLN ;11500.0;0
ue4 vr game developer;VR Mirai Sp. z o.o.;UE4;data engeenier; Warszawa;POL;9000;12000;PLN ;10500.0;0
ruby software engineer;Smart Pension;ruby on rails;data engeenier; Warszawa;POL;16000;23000;PLN ;19500.0;0
java backend developer;ProData Consult;java;data engeenier;Zdalna;;16800;20160;PLN ;18480.0;0
remote unity game developer;Rage Quit Games;unity;data engeenier;Zdalna;;15000;22000;PLN ;18500.0;0
senior product manager;AVENGA;;data engeenier;Zdalna;;27000;31322;PLN ;29161.0;1
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
product owner/senior business analyst;Silent Eight Pte. Ltd.;;data analyst;Zdalna;;14000;18000;PLN ;16000.0;1
business intelligence data analyst i;Jamf;;data analyst;Zdalna;;5000;6250;PLN ;5625.0;0
business intelligence analyst;Tylko;;data analyst;Zdalna;;8000;12000;PLN ;10000.0;0
data analytics implementation specialist;IIIT;;data analyst;Zdalna;;10000;16000;PLN ;13000.0;0
power bi data analyst;Devire;;data analyst; Warszawa;POL;13440;16800;PLN ;15120.0;0
senior data analyst;Devire;;data analyst;Zdalna;;16800;20160;PLN ;18480.0;1
data scientist - bi analyst;Cloud Best;;data analyst; Warszawa;POL;10000;14000;PLN ;12000.0;0
product owner (remote);BEANS;;data analyst;Zdalna;;9000;16000;PLN ;12500.0;0
big data analyst;Solid Bridge Solutions Sp. z o.o.;SQL;data analyst; Warszawa;POL;10000;13000;PLN ;11500.0;0
technical product devops;kyp.ai;;data analyst;Zdalna;;20000;33000;PLN ;26500.0;0
data scientist;Tidio;;data analyst;Zdalna;;15000;22000;PLN ;18500.0;0
data analyst;IIIT;;data analyst; Warszawa;POL;8000;12000;PLN ;10000.0;0
data analyst intern (tableau);Global App Testing;;data analyst; Kraków;POL;2600;3000;PLN ;2800.0;0
data scientist team leader;Pannon-Work;python;data analyst; Budapest;HUN;13927;27854;PLN ;20890.5;0
technical po/it business system analyst;Fresha;;data analyst;Zdalna;;10000;18000;PLN ;14000.0;0
it business analyst;Margo;;data analyst; Warszawa;POL;17000;21000;PLN ;19000.0;0
project manager;Efigence SA;;data analyst; Warszawa;POL;12000;20000;PLN ;16000.0;0
product manager;Qpony.pl Sp. z o.o.;;data analyst;Zdalna;;8000;11000;PLN ;9500.0;0
remote data engineer;CDQ Poland;;data analyst;Zdalna;;9000;15000;PLN ;12000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
ux/ui designer;HL Tech;;data analyst; Warszawa;POL;6500;9500;PLN ;8000.0;0
frontend developer;Evotrex Zrt.;javascript;data analyst; Budapest;HUN;7596;11394;PLN ;9495.0;0
technical support engineer;Telestream;;data engeenier; Kraków;POL;10000;13000;PLN ;11500.0;0
ue4 vr game developer;VR Mirai Sp. z o.o.;UE4;data engeenier; Warszawa;POL;9000;12000;PLN ;10500.0;0
ruby software engineer;Smart Pension;ruby on rails;data engeenier; Warszawa;POL;16000;23000;PLN ;19500.0;0
java backend developer;ProData Consult;java;data engeenier;Zdalna;;16800;20160;PLN ;18480.0;0
remote unity game developer;Rage Quit Games;unity;data engeenier;Zdalna;;15000;22000;PLN ;18500.0;0
senior product manager;AVENGA;;data engeenier;Zdalna;;27000;31322;PLN ;29161.0;1
data scientist;Samba TV;python;data scientist; Warszawa;POL;10000;16500;PLN ;13250.0;0
data scientist;Link Group Sp. z o. o.;;data scientist;Zdalna;;21000;25000;PLN ;23000.0;0
senior data scientist;FLYR Poland sp.z.o.o;python;data scientist; Kraków;POL;18000;25000;PLN ;21500.0;1
data scientist;Britenet;;data scientist;Zdalna;;12000;16000;PLN ;14000.0;0
data scientist (genomics);Nexer;;data scientist;Zdalna;;14448;21840;PLN ;18144.0;0
data scientist;Lerta;python;data scientist;Zdalna;;8000;15000;PLN ;11500.0;0
machine learning engine / data scientist;Idego Group Sp. z o.o.;python;data scientist;Zdalna;;19000;23000;PLN ;21000.0;0
data scientist - bi analyst;Cloud Best;;data scientist; Warszawa;POL;10000;14000;PLN ;12000.0;0
data scientist;deepsense.ai Sp. z o.o.;python;data scientist;Zdalna;;10000;16000;PLN ;13000.0;0
data scientist;Allegro;;data scientist; Warszawa;POL;12000;18000;PLN ;15000.0;0
data scientist;Miquido;SQL;data scientist;Zdalna;;11400;15700;PLN ;13550.0;0
data scientist;Tidio;;data scientist;Zdalna;;15000;22000;PLN ;18500.0;0
senior data scientist;CRODU;SQL;data scientist;Zdalna;;21840;25200;PLN ;23520.0;1
data scientist team leader;Pannon-Work;python;data scientist; Budapest;HUN;13927;27854;PLN ;20890.5;0
